;symbol;A;B;C;D;E;F;G;H;I;J
0;α;186;0.489;10.296;10.430;0.516;0.496;7081.591;6134.737;9.306;8.061
1;β;240;0.415;7.513;16.175;0.407;0.460;19832.650;6589.962;13.725;4.561
2;γ;147;0.320;8.810;11.993;0.488;0.423;7446.993;2410.667;7.315;2.368
3;δ;228;0.469;9.566;13.439;0.504;0.478;15554.140;6088.013;14.771;5.782
4;ε;129;0.496;5.845;10.729;0.404;0.512;5093.504;1460.899;8.952;2.567
5;ζ;170;0.333;7.882;16.712;0.492;0.476;19816.876;2745.647;14.350;1.988
6;η;163;0.402;8.638;11.245;0.546;0.394;9038.184;5009.644;9.474;5.251
7;θ;247;0.494;10.709;13.150;0.511;0.506;11653.457;9033.012;11.369;8.813
8;ι;80;1.000;2.500;10.500;0.500;0.500;2660.000;100.000;6.394;0.240
9;κ;159;0.497;6.277;10.497;0.352;0.500;5311.748;3007.824;8.097;4.585
10;λ;151;0.329;8.503;15.907;0.469;0.573;7896.702;2397.748;7.757;2.355
11;μ;171;0.422;7.251;13.509;0.447;0.481;8180.737;5290.187;8.575;5.545
12;ν;122;0.359;8.820;9.836;0.489;0.465;3674.721;2348.033;5.333;3.408
13;ξ;174;0.366;6.787;16.598;0.445;0.473;17883.839;2397.132;13.228;1.773
14;ο;164;0.456;9.494;10.567;0.500;0.504;5874.262;5172.994;8.114;7.145
15;π;174;0.362;12.500;7.862;0.500;0.361;6716.690;6603.500;6.882;6.766
16;ρ;208;0.428;8.029;12.875;0.413;0.457;10696.750;6755.827;10.158;6.416
17;σ;185;0.440;10.438;9.573;0.472;0.451;7315.265;6571.535;8.698;7.814
18;τ;90;0.346;7.000;7.667;0.500;0.351;3460.000;580.000;6.081;1.019
19;υ;151;0.472;8.192;11.007;0.479;0.527;5166.993;4719.430;7.877;7.194
20;φ;238;0.401;11.601;11.727;0.505;0.413;10883.248;8247.080;8.972;6.799
21;χ;182;0.374;9.264;14.099;0.486;0.504;11628.220;3669.341;11.043;3.485
22;ψ;228;0.384;11.746;12.557;0.512;0.445;10284.259;10311.246;8.478;8.501
23;ω;198;0.396;12.838;11.919;0.493;0.575;6350.707;14040.828;6.196;13.698
